Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL,Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
AI Engineer - Fresher,Entry-Level,0-1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
AI Engineer - Experienced,Mid-Senior Level,3-6 years,Python; Java; C++; R; Deep Learning; Reinforcement Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Apache Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,Architect and deploy scalable AI models; Optimize deep learning and NLP pipelines; Integrate AI solutions with cloud platforms; Lead AI projects,AI; ML; Mid-Senior Level; Deep Learning; NLP; Cloud; MLOps; TensorFlow; PyTorch
